time,S,E,R,I,H
1947.06639288159,118534.9244226852,957.9095003490713,1696955.8781314574,565.3885708554369,1469.0347889599254
1947.10472279261,118525.19187528046,1130.6010280918022,1698677.8396395198,667.3493188778648,1721.9666035332864
1947.14305270363,118158.78142275005,1328.3927155322099,1700708.0324553878,785.4007018431859,2030.1979169579422
1947.18138261465,117396.87620441245,1548.2281962513482,1703089.7954295252,918.0770964090109,2381.7680818382814
1947.21971252567,116213.93215426312,1782.7925475737081,1705859.6152334078,1061.7508198017842,2769.824919305887
1947.25804243669,114606.64127957923,2019.6986929438017,1709039.7901145678,1209.8186937887458,3180.180005508927
1947.29637234771,113673.98900379724,1556.5760458354164,1712476.8647309274,1119.121223559481,3437.0797507964
1947.33470225873,113292.37105466636,1446.47535071535,1715145.124182245,885.9268371615582,2668.2645950366245
1947.37303216975,112404.4822819094,1599.772297167101,1717733.7595479593,967.9739158712832,2588.6405170883777
1947.41136208077,111273.74170150337,1737.4242797667223,1720567.9768414467,1055.680035781288,2834.222452996998
1947.44969199179,109922.3853392371,1859.737527434843,1723638.465859522,1135.8131453899614,3070.4941864504226
1947.48802190281,108393.17135242281,1958.2158180527006,1726916.385135009,1202.952776701465,3277.924453396985
1947.52635181383,106742.37040012682,2025.2390855700814,1730358.1210289407,1252.0619756864396,3441.741081939271
1947.56468172485,105889.32214009391,1491.715171565295,1733799.879009756,1096.6877746067537,3441.763179280803
1947.60301163587,106312.83969623473,908.2580478734093,1736262.6924160463,686.3697391456923,2462.8186138110855
1947.64134154689,107284.46551418399,561.1769744077999,1737786.3923011445,423.4251104456381,1523.7050984954021
1947.67967145791,108592.05881983653,349.6949854247235,1738728.834563658,262.9157297697822,942.4474795397964
1947.71800136893,109885.1765494072,346.2483547654714,1739358.764448864,214.10314180633804,629.935104510929
1947.75633127995,111101.92940458747,368.1604109815515,1739972.4602124095,225.2750606858078,613.7009846777149
1947.79466119097,112265.1188415834,394.6087785157438,1740623.8135284956,240.5607315803462,651.358539114108
1947.83299110199,113456.21021686392,353.5247749200517,1741318.7578940718,244.6299835415783,694.9495906273856
1947.871321013,114707.97174629502,355.5428790276019,1741935.0647020875,216.30872848292083,616.3120350614544
1947.90965092402,115848.3492585667,394.25983515125967,1742569.0670537935,237.7212930948355,634.0075805942708
1947.94798083504,116900.33031194501,440.4217369993059,1743271.2087435808,264.69023057210563,702.1469206765157
1947.98631074606,117956.07201643745,409.1628551134254,1744051.618624371,279.7953074650033,780.4151139064912
1948.02464065708,119295.84747260746,298.9281325089889,1744716.440876537,198.17429984298414,664.8274875283338
1948.0629705681,120459.97396218735,359.1967903523417,1745281.9229040337,213.78330087531336,565.487264631273
1948.10130047912,121521.23575719977,417.8956770272536,1745926.2552330585,247.72066397914716,644.3375679643862
1948.13963039014,122447.61879077778,490.1076601250698,1746676.6299518757,289.72550018895527,750.3799598435652
1948.17796030116,123209.96593175,578.7644800636267,1747557.6988612355,341.37139953027656,881.0741528268967
1948.21629021218,123773.66412808074,686.9936382271202,1748599.0582174389,404.54765637338676,1041.364602547778
1948.2546201232,124098.51933034029,817.9507277515962,1749835.7676681746,481.2330793440992,1236.7147004904734
1948.29295003422,124530.2925878092,706.3860094478914,1751265.9392680968,492.8043037207523,1430.1768537139392
1948.33127994524,125226.83841377796,663.2895995435757,1752461.4174500518,398.572267160006,1195.4834397799505
1948.36960985626,125546.16740266352,806.1638406444328,1753672.6215707045,472.6046759963429,1211.2093819609638
1948.40793976728,125570.2873495436,971.2229774977682,1755126.9742960627,569.2568244193168,1454.3579906513844
1948.4462696783,125240.86654274608,1167.0336872500254,1756878.0344096287,684.7349634741205,1751.065383655701
1948.48459958932,124503.31378606448,1393.7486245643568,1758979.659015174,819.6205309520343,2101.6298814040324
1948.52292950034,123310.08604710028,1647.5160167585639,1761484.72975373,972.4367379592976,2505.0760213139392
1948.56125941136,122299.8124221818,1443.0137672952187,1764376.8781584124,1006.2866161712445,2892.1536956000446
1948.59958932238,122403.03378159393,968.5301840994069,1766757.162490214,701.3192932566649,2380.289630894521
1948.6379192334,123000.73587812485,660.3700701990301,1768388.0973901923,477.9942797787802,1630.9402050292467
1948.67624914442,123936.30116211828,452.87965391302635,1769501.2986916697,327.0486238836654,1113.2066105962122
1948.71457905544,124833.31888722147,477.4785418245251,1770306.9892495254,283.746315600126,805.6958697794167
1948.75290896646,125499.5068303168,572.3976206231205,1771171.1592747208,336.3543804352954,864.1753395572163
1948.79123887748,125958.8656844971,686.8524141118004,1772203.0753161062,403.00936381863085,1031.921358583172
1948.8295687885,126320.58334010708,699.3072895654439,1773436.682486133,462.57770016388525,1233.6124906213397
1948.86789869952,126794.41797997667,727.6522204128343,1774630.548762928,429.4333863931918,1193.871601108848
1948.90622861054,126890.95361154586,883.5715309887556,1775949.7781382536,517.0584858791709,1319.234703322851
1948.94455852156,126659.55220212165,1068.0479021841354,1777544.5989176948,625.3682192438046,1594.8261117972006
1948.98288843258,126281.48295909104,1087.998757891585,1779462.6694146409,719.7855207204556,1918.075834568053
1949.0212183436,126691.0067211218,764.3215022280594,1781220.434703537,529.1088491910718,1757.7706322526287
1949.05954825462,126564.83898161973,987.1225229920313,1782726.927262161,579.1143127091785,1506.49790669708
1949.09787816564,126120.28128461466,1187.1256136309642,1784507.852280404,696.4721416272112,1780.9303712101541
1949.13620807666,125271.36215982433,1417.4020760123888,1786645.5411873881,833.6242744661929,2137.694265817547
1949.17453798768,123971.8081782102,1674.1552317926107,1789192.7339986402,988.45238452923,2547.1981771034543
1949.2128678987,122194.81649883366,1947.508079525809,1792192.9277956882,1156.071335788623,3000.1991712149706
1949.25119780972,119942.29307365825,2220.9117027283082,1795670.5338719974,1327.6340672486465,3477.611460194023
1949.28952772074,118103.7309773669,1871.1193965843474,1799541.7662994424,1322.4172469270202,3871.237822453798
1949.32785763176,117376.97067815793,1536.701084623578,1802646.1503856063,966.0236267143355,3104.389491938409
1949.36618754278,116048.56230966753,1708.5850375184489,1805430.1941344212,1035.8045081923863,2784.0491630996935
1949.4045174538,114513.02140529978,1843.367845969262,1808454.038153635,1122.7756164181224,3023.8494422056133
1949.44284736482,112794.8939914789,1956.4250537167827,1811707.155293112,1198.5144122881231,3253.1225718960854
1949.48117727584,110950.15706274347,2039.7473813849542,1815150.0081485705,1257.4619131000068,3442.8582979375324
1949.51950718686,109043.85007181698,2087.000924996361,1818729.068513213,1295.1862914565531,3579.0658176736215
1949.55783709788,107669.18012481848,1698.593152263346,1822348.6738442823,1216.8898704794508,3619.610794958522
1949.5961670089,107846.8018547119,1012.0424503553375,1825105.953283753,767.9863154296994,2757.2849132184347
1949.63449691992,108667.85713257377,617.5919971434524,1826802.2667660106,468.4230669777474,1696.3189625781135
1949.67282683094,109897.57933004489,380.23856392734115,1827839.0848216596,287.3635981567506,1036.8235399888617
1949.71115674196,111237.24600336782,334.6781617892348,1828497.0595122864,210.13930709908274,657.9801774389313
1949.74948665298,112520.33809932838,352.5289168974643,1829092.2055318304,216.72069380223218,595.1515081761562
1949.787816564,113796.33810158448,373.6076701685986,1829714.8807418318,228.63534512381662,622.6807004571243
1949.82614647502,115094.48046140626,364.9172061438996,1830375.5125521352,240.46742493943356,660.6373026824259
1949.86447638604,116577.2198435912,322.7109286983134,1830969.732154975,198.46797267121252,594.2250971465013
1949.90280629706,117971.32472578333,357.95765867651056,1831547.565569108,216.03996165825959,577.8389101528925
1949.94113620808,119324.21824097243,400.11458323203,1832185.2129876344,240.36685520974194,637.6529163661038
