R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,I_0,R_0,LogLik
48.702738623270164,0.4950556704426825,73.05,0.34115708412087264,45.66,0.9970676214021975,0.8991926217376065,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4237.542929
49.67955531711628,0.5037665046880984,73.05,0.3544266500926725,45.66,0.9999999827318132,0.9228034919704027,0.025557210224002,0.000314709336253,0.000100616999754,0.97402746343999,-4239.671869
51.75161703817129,0.5226300708648407,73.05,0.3857991854137583,45.66,1,0.9941155831324676,0.025557210224002,0.000314709336253,0.97402746343999,0.000100616999754,-4248.725803
52.92839106885001,0.5312915854678327,73.05,0.39768703607628186,45.66,1,1.0190873340265043,0.085250847735422,0.000487785700372,0.0000725610754480625,0.914188805488758,-4250.974616
54.53217424662724,0.5497910277297737,73.05,0.43978731091747447,45.66,0.9999999908692704,1.1743963914261744,0.085250847735422,0.000487785700372,0.0000725610754480625,0.914188805488758,-4288.22313
22.335314810347416,0.23890601683846793,73.05,1.4239049064963468e-8,45.66,0.4210018140427511,0.940201048395064,0.066281194869685,0.001116555114678,0.00000940484506994996,0.932592845170567,-4278.830156
22.83552385215224,0.2298502003078065,73.05,3.006171406703557e-35,45.66,0.4199219359485415,0.9434433666880789,0.074181462865365,0.001417185543403,0.000160880585006,0.924240471006226,-4270.08149
25.154476926382024,0.1710389835003829,73.05,1.2714245040568143e-30,45.66,0.4788592880370553,1.2253959462111972,0.751412439845276,0.001661311374447,0.000246681059359,0.246679567720918,-4597.929339
26.241596572925594,0.27486572409932514,73.05,6.528036091266903e-7,45.66,0.4292215692592133,0.9335310044246615,0.098770827848594,0.001000254226596,1.14e-7,0.900228803936432,-4265.168912
27.922381495665523,0.28554918671331003,73.05,7.833912748066186e-7,45.66,0.46253496372301545,0.949690290571644,0.098770827848594,0.001000254226596,0.900228803936432,1.14e-7,-4376.166604
30.407218543286834,0.33856948405298387,73.05,0.05413887623771921,45.66,0.5048029387418528,0.8781644963027646,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4241.332979
30.62113380673934,0.32463584094909653,73.05,0.07200711231603274,45.66,0.5068776967475989,0.9279192100747707,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4240.887956
32.31914436443329,0.45372833175248617,73.05,7.829510230113747e-10,45.66,0.46351001629876154,0.9524136682512906,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4259.257545
