R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,I_0,R_0,LogLik
51.23929761393234,0.5146471587380776,73.05,0.3730857269635286,45.66,0.9999999632671819,0.9579252405286489,0.025557210224001786,0.0003147093362534848,0.9740274634399905,0.00010061699975411282,-4243.997757
52.095213978852826,0.5203522561575449,73.05,0.3878585984862165,45.66,0.999999979428021,0.9826353654836676,0.4051311368686608,0.0020626057554583607,0.5926527477775752,0.00015350959830566312,-4247.215678
37.72844738242413,0.3978196898183989,73.05,0.16099850416432784,45.66,0.6126400842739712,0.9457810820570596,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4252.228711
49.2665747540769,0.49765547604317617,73.05,0.3477180802556686,45.66,0.9999982693642102,0.9051310922702347,0.025557210224002,0.000314709336253,0.000100616999754,0.97402746343999,-4238.514079
43.26180554321016,0.441793921202094,73.05,0.26954736444248123,45.66,0.8400317610932019,0.9092741228166988,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4236.438968
46.808318056190984,0.47254437138287675,73.05,0.3060890544145492,45.66,0.9104597104689415,0.9242427513158019,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4242.749587
46.623157832367035,0.47019904390206,73.05,0.30305846971737543,45.66,0.9052608997399396,0.9230304242575008,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4243.993116
29.575231634942636,0.30706699495173073,73.05,0.07909536190561595,45.66,0.5359624344050803,0.9225827394275712,0.10928213994883608,0.0007451054996511551,0.8899540087833397,0.00001874576817298357,-4236.570047
38.6584629478698,0.3992070783864953,73.05,0.20620870536557045,45.66,0.7337970575359757,0.914759514973238,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4238.179392
38.59166270940599,0.3993835798449929,73.05,0.2041670350154163,45.66,0.7319205716713375,0.9146655505057463,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4238.257424
47.83590305637023,0.4843899109519413,73.05,0.32491969913945,45.66,0.9544100887446515,0.9077791888896305,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4237.352586
48.22053329036649,0.488186946802698,73.05,0.33311584721265586,45.66,0.9711281913676184,0.9032665087740316,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4236.728322
43.20383529201361,0.4427669104643161,73.05,0.266878578655922,45.66,0.8397282153728776,0.908834854043086,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4236.2871
46.98968261291893,0.47478111050613153,73.05,0.3091499449586947,45.66,0.9182119666387655,0.9210972030087581,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4241.57617
47.91739914954646,0.4852654675642856,73.05,0.326552149017406,45.66,0.956924947823517,0.9080998752970689,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4237.13379
46.251976605361776,0.46547947119935273,73.05,0.2970870206032501,45.66,0.88610116268472,0.933756288309933,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4246.591374
46.43901228939588,0.4678847439328841,73.05,0.3000578908092826,45.66,0.8994920651050486,0.922721620389464,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4245.289492
47.99240986454827,0.48598234416902436,73.05,0.3281688961308445,45.66,0.9611938792491114,0.9057319136026163,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4236.96174
28.483565813761864,0.3554629472333884,73.05,0.0000018610907791354187,45.66,0.43415160137410186,0.9256796419088866,0.09877082784859367,0.0010002542265960355,0.9002288039364318,1.139883785817008e-7,-4235.102001
